Date,Price
15/08/17,171
16/08/17,170
17/08/17,166.91
18/08/17,167.41
21/08/17,167.78
22/08/17,169.64
23/08/17,168.71
24/08/17,167.74
25/08/17,166.32
28/08/17,167.24
